,Energy In Bat 1,Energy In Bat 2,Energy In Bat 3,Energy Out Bat 1,Energy Out Bat 2,Energy Out Bat 3,PV Energy 1,PV Energy 2,PV Energy 3,Energy Gen 
2016-04-30,60.0,60.0,57.0,56.0,57.0,56.0,87.2,83.14,86.09,0.0
2016-05-01,63.0,65.0,60.0,55.0,54.0,53.0,43.16,42.73,43.06,147.0
2016-05-02,62.0,65.0,59.0,56.0,57.0,54.0,69.7,68.05,69.1,63.7
2016-05-03,61.0,64.0,58.0,55.0,55.0,57.0,41.13,40.31,40.78,137.7
2016-05-04,62.0,64.0,62.0,56.0,56.0,54.0,53.98,53.6,54.42,113.5
2016-05-05,45.0,45.0,43.0,58.0,55.0,58.0,69.87,68.14,69.11,0.0
2016-05-06,72.0,71.0,71.0,50.0,49.0,49.0,20.83,20.56,20.59,264.5
2016-05-07,36.0,36.0,36.0,56.0,54.0,56.0,36.37,35.73,36.08,75.5
2016-05-08,87.0,84.0,83.0,44.0,44.0,46.0,15.16,15.01,14.98,329.5
2016-05-09,56.0,56.0,55.0,49.0,48.0,48.0,27.62,27.15,27.36,187.1
2016-05-10,40.0,40.0,40.0,51.0,50.0,57.0,34.79,34.18,34.48,97.1
2016-05-11,27.0,27.0,28.0,56.0,56.0,52.0,30.75,30.21,30.48,64.0
2016-05-12,67.0,67.0,64.0,48.0,48.0,47.0,46.88,46.08,46.62,156.1
2016-05-13,54.0,53.0,52.0,54.0,54.0,54.0,24.44,24.08,24.17,176.2
2016-05-14,70.0,70.0,71.0,50.0,50.0,51.0,22.74,22.5,22.53,269.9
2016-05-15,51.0,55.0,49.0,69.0,69.0,68.0,63.07,63.32,63.9,46.1
2016-05-16,70.0,73.0,67.0,54.0,54.0,54.0,53.36,52.68,53.27,162.6
2016-05-17,55.0,57.0,54.0,61.0,57.0,58.0,31.07,30.59,30.77,159.1
2016-05-18,81.0,79.0,76.0,28.0,26.0,29.0,41.72,41.02,41.3,274.1
2016-05-19,41.0,40.0,42.0,52.0,52.0,50.0,18.84,18.72,18.71,175.9
2016-05-20,45.0,44.0,44.0,49.0,48.0,49.0,22.88,22.65,22.64,172.0
2016-05-21,53.0,59.0,49.0,56.0,57.0,58.0,31.52,31.24,31.32,147.2
2016-05-22,71.0,71.0,71.0,50.0,50.0,49.0,20.44,20.31,20.26,271.8
